Id,restaurantName,isAdvertisement,rating,cuisines,deliveryTime,price,distance,offer,restaurantUrl
0,N/A,False,4.3,"American, Beverages, Desserts, Snacks, Indian",30-35 MINS,N/A,8.3 km away,N/A,https://www.swiggy.com/city/lucknow/burger-singh-big-punjabi-burgers-gomti-nagar-rest367778
1,N/A,False,4.5,"Bakery, Italian, Snacks, Cakes & Pastries, Pizzas, Beverages",35-40 MINS,N/A,9.9 km away,N/A,https://www.swiggy.com/city/lucknow/mr-brown-danbro-gomti-nagar-rest504871
2,N/A,False,4.4,"Burgers, American",40-50 MINS,N/A,8.6 km away,N/A,https://www.swiggy.com/city/lucknow/burger-king-city-mall-gomti-nagar-rest226044
3,N/A,False,4.3,"Pizzas, Italian-American, American, Barbecue, Snacks, Grill, Italian, Pastas, Sweets, Desserts",40-45 MINS,N/A,8.7 km away,N/A,https://www.swiggy.com/city/lucknow/rominus-pizza-and-burger-nagar-nigam-food-safety-zone-14-gomti-nagar-rest689752
4,N/A,False,4.2,"Tandoor, Chinese, Rolls & Wraps, Indian",65-75 MINS,N/A,16.2 km away,N/A,https://www.swiggy.com/city/lucknow/chaap-wale-kaliji-bazar-chowk-rest769664
5,N/A,False,4.6,"Indian, Chinese, Continental",65-75 MINS,N/A,13.6 km away,N/A,https://www.swiggy.com/city/lucknow/di-di-foods-gautam-buddha-marg-aishbagh-rest368687
6,N/A,False,4.2,"Bubble Tea, Burger, Korean, Beverages, Fast Food, Juice and shake",40-50 MINS,N/A,8.5 km away,N/A,https://www.swiggy.com/city/lucknow/boba-bhai-bubble-tea-and-korean-street-food-patrakarpuram-gomti-nagar-rest1110695
7,N/A,False,4.3,"Beverages, Chinese, Pizzas, Burgers, Snacks, Fast Food",35-45 MINS,N/A,9.9 km away,N/A,https://www.swiggy.com/city/lucknow/drunken-monkey-vijyant-khand-gomti-nagar-rest785348
8,N/A,False,3.5,"Chinese, Street Food, Snacks, Pizzas, Fast Food, Burgers, Cafe",40-50 MINS,N/A,9.8 km away,N/A,https://www.swiggy.com/city/lucknow/lara-foods-cafe-vibhuti-khand-gomti-nagar-rest862616
9,N/A,False,4.4,"Bakery, Desserts, Ice Cream, Beverages, Cakes, Cafe",45-55 MINS,N/A,10.3 km away,N/A,https://www.swiggy.com/city/lucknow/kouzina-kafe-the-food-court-vaibhav-complex-indira-nagar-rest923238
10,N/A,False,N/A,"Desserts, Thalis, Beverages, Healthy Food, North Indian, Indian, Biryani, Asian",45-50 MINS,N/A,11.1 km away,N/A,https://www.swiggy.com/city/lucknow/maas-home-food-indira-nagar-rest1356282
